@relation 'train_set-weka.filters.unsupervised.attribute.Remove-R1-2,6,8-9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute home_score numeric
@attribute away_score numeric
@attribute strength_code {PP,EV,SH}
@attribute shot_distance numeric
@attribute shot_angle numeric
@attribute shot_outcome {SHOT,MISSED_SHOT,GOAL}

@data
3,0,EV,0.719748,33.4,SHOT
0,3,EV,0.392654,23.7,SHOT
2,0,PP,-0.576205,37.4,MISSED_SHOT
1,3,EV,-1.147583,23.2,GOAL
3,5,PP,-1.172425,0,SHOT
1,0,EV,-1.147583,23.2,MISSED_SHOT
1,1,EV,-0.932281,51.3,SHOT
2,1,EV,0.914348,22.5,SHOT
1,1,EV,-0.700417,67.6,SHOT
0,1,EV,-0.133179,84.6,MISSED_SHOT
0,2,EV,1.084105,22,SHOT
1,0,EV,0.392654,29.4,MISSED_SHOT
0,0,EV,-0.754243,6.7,MISSED_SHOT
0,0,EV,-0.323639,56.9,SHOT
0,0,EV,3.468989,2.4,SHOT
1,0,EV,-0.774945,25,MISSED_SHOT
0,2,EV,0.872944,29.7,SHOT
2,1,SH,-1.209689,99.5,SHOT
3,2,EV,-1.184847,26.6,SHOT
1,5,EV,-0.398166,13.5,MISSED_SHOT
1,2,PP,-0.659013,34.5,SHOT
2,3,EV,-0.369183,29.5,GOAL
2,2,EV,-0.03795,35.5,MISSED_SHOT
0,0,EV,-0.526519,12.8,MISSED_SHOT
1,0,PP,-0.174583,33.2,SHOT
1,0,SH,-0.008967,3.3,MISSED_SHOT
3,1,SH,-0.977826,31,MISSED_SHOT
0,0,EV,0.872944,7.1,SHOT
0,0,PP,-1.292498,104,SHOT
0,0,EV,0.405076,3.8,SHOT
1,0,PP,0.160791,5.9,MISSED_SHOT
3,6,PP,-0.609328,29.1,SHOT
0,0,EV,-1.110319,20.6,SHOT
1,1,EV,0.670063,29.1,MISSED_SHOT
1,0,EV,-1.073055,32,SHOT
0,0,EV,-1.139302,39.8,SHOT
1,3,PP,0.098684,21.8,MISSED_SHOT
1,1,PP,-0.145601,28.2,SHOT
7,1,EV,-0.294656,67.1,SHOT
4,2,EV,0.599676,22.4,MISSED_SHOT
2,1,EV,-0.609328,39.1,SHOT
2,1,EV,-1.048213,53.1,SHOT
0,2,EV,-0.965404,4.8,MISSED_SHOT
2,1,EV,-0.841192,53.1,SHOT
2,1,EV,1.966015,25,SHOT
1,0,EV,0.574833,24,MISSED_SHOT
0,0,EV,0.235318,34.1,MISSED_SHOT
4,3,PP,0.487884,3.7,MISSED_SHOT
0,2,EV,0.616237,5.7,SHOT
1,1,PP,-1.160004,74.1,MISSED_SHOT
1,1,EV,0.649361,15.9,MISSED_SHOT
0,2,EV,0.732169,0,SHOT
4,3,PP,-1.081336,12.5,GOAL
0,0,EV,-0.816349,39.8,MISSED_SHOT
0,0,EV,-0.348481,45,MISSED_SHOT
1,0,PP,0.334689,28.9,MISSED_SHOT
1,3,EV,-0.33192,23.7,SHOT
3,4,EV,-0.882596,4.1,GOAL
4,3,EV,0.214616,32.9,SHOT
3,2,EV,-0.480975,27.6,SHOT
1,2,EV,-0.195286,38.4,SHOT
3,2,SH,0.848101,32.6,SHOT
4,0,EV,-0.199426,31.6,MISSED_SHOT
2,2,EV,-1.089617,0,SHOT
1,5,EV,0.483744,29.3,MISSED_SHOT
1,2,PP,0.14837,41.9,MISSED_SHOT
0,0,EV,1.03028,32.1,SHOT
2,2,EV,0.260161,27.2,SHOT
0,4,EV,-1.12274,76,SHOT
3,2,PP,0.769433,31.3,SHOT
2,2,EV,0.371952,28.3,SHOT
0,0,EV,-0.215988,15.4,SHOT
0,0,EV,-0.837051,7.6,MISSED_SHOT
1,0,EV,-0.261532,46.4,SHOT
2,2,EV,-1.275936,26.6,SHOT
0,1,EV,-1.201408,18.4,SHOT
0,0,PP,-0.348481,15.1,SHOT
2,1,EV,-0.642451,40.9,MISSED_SHOT
1,2,EV,-0.965404,0,MISSED_SHOT
0,0,SH,-0.998528,10.3,SHOT
1,0,PP,-0.071073,53.5,MISSED_SHOT
1,1,PP,0.413357,30.5,SHOT
0,1,EV,-0.799787,3.6,MISSED_SHOT
0,0,EV,-0.638311,17.5,SHOT
2,4,EV,-0.845332,42.3,SHOT
1,7,PP,0.400935,36.9,SHOT
0,0,EV,-0.261532,0,SHOT
2,0,EV,0.74045,41.2,SHOT
1,1,PP,0.044859,37.2,SHOT
0,0,EV,1.055122,27.4,SHOT
1,1,EV,0.413357,22,SHOT
3,0,EV,-1.126881,7.1,SHOT
1,2,EV,0.111106,35.4,MISSED_SHOT
4,1,SH,-1.172425,0,GOAL
1,2,PP,0.239459,4.2,SHOT
2,1,EV,-0.646592,66,SHOT
0,3,EV,-1.209689,99.5,MISSED_SHOT
1,1,EV,-0.977826,20,SHOT
1,4,EV,0.235318,43,MISSED_SHOT
0,1,EV,1.187616,1.8,MISSED_SHOT
0,0,PP,-0.609328,29.1,SHOT
0,0,EV,-1.126881,29.7,SHOT
0,2,EV,-0.145601,28.2,SHOT
4,1,PP,-0.215988,86.2,SHOT
2,4,EV,2.073666,18.4,SHOT
0,0,PP,-1.184847,63.4,SHOT
0,0,EV,0.678344,42.6,SHOT
0,0,EV,-0.021388,50.8,MISSED_SHOT
0,2,EV,0.409216,24.9,SHOT
4,4,EV,-1.048213,53.1,SHOT
5,1,EV,-0.369183,24.6,SHOT
2,1,EV,0.74045,4.3,MISSED_SHOT
3,3,EV,0.591395,34.3,SHOT
1,0,PP,-0.965404,4.8,MISSED_SHOT
1,1,EV,0.05728,25.9,SHOT
1,1,EV,-0.737681,31,SHOT
5,3,SH,0.322267,44.1,GOAL
0,3,EV,3.597342,13.2,SHOT
2,3,EV,-1.164145,33.7,SHOT
2,0,EV,0.185633,38.9,SHOT
3,3,EV,-0.282234,71.6,SHOT
0,1,SH,5.7338,8.3,SHOT
2,0,EV,-0.091775,61.1,SHOT
0,1,EV,-0.054511,42.6,MISSED_SHOT
1,0,PP,0.914348,7,SHOT
1,0,PP,0.649361,1.1,SHOT
1,1,EV,0.264301,30.3,SHOT
1,3,EV,-0.406447,41.8,MISSED_SHOT
0,1,EV,1.009577,31.3,SHOT
0,1,PP,0.93919,15,SHOT
0,0,EV,1.121369,31.9,SHOT
2,0,EV,-0.162162,30.7,MISSED_SHOT
2,1,EV,0.214616,15.8,MISSED_SHOT
2,2,EV,-0.584485,8.1,SHOT
1,0,EV,-0.344341,90,SHOT
2,1,EV,-0.290515,8.1,SHOT
3,2,EV,-0.33606,54,SHOT
0,0,EV,-0.62589,8.5,MISSED_SHOT
3,1,EV,0.384374,42.3,SHOT
1,2,EV,-0.62589,8.5,MISSED_SHOT
0,1,EV,-0.04623,74.7,SHOT
0,4,EV,-0.816349,45,SHOT
1,1,EV,-1.168285,8.1,SHOT
3,4,EV,-0.62589,69.8,MISSED_SHOT
0,1,EV,-0.758383,3.4,SHOT
0,2,EV,0.388514,63.4,SHOT
0,0,EV,0.595535,30.2,MISSED_SHOT
3,2,EV,-0.33192,8.4,MISSED_SHOT
2,1,EV,-1.139302,50.2,SHOT
0,2,EV,1.572675,25.9,SHOT
1,2,EV,-0.841192,3.8,MISSED_SHOT
1,4,EV,-0.464413,41.6,MISSED_SHOT
2,0,EV,1.100667,31.1,MISSED_SHOT
